baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
1	83655.3965160685	0.790435800150603	0.205052332695155	3.85480033199973	0.000115824119002922	0.00123154759446145
2	8.38807271613156	-1.97830744593835	0.887856317197643	-2.22818423163617	0.0258682321355108	0.0688508079652378
3	8.38807271613156	-1.97830744593835	0.887856317197643	-2.22818423163617	0.0258682321355108	0.0688508079652378
4	8.2860106435156	-1.95793333702592	0.883721962102766	-2.21555355755461	0.0267220925302358	0.0708093303640317
5	3.99942612370777	-3.07682341230667	1.2455018149764	-2.47034839717593	0.0134981519294223	0.0429486652299799
6	3.99942612370777	-3.07682341230667	1.2455018149764	-2.47034839717593	0.0134981519294223	0.0429486652299799
7	3.99942612370777	-3.07682341230667	1.2455018149764	-2.47034839717593	0.0134981519294223	0.0429486652299799
8	3.99942612370777	-3.07682341230667	1.2455018149764	-2.47034839717593	0.0134981519294223	0.0429486652299799
9	5.74652756373759	-3.57860600569931	1.20955099337339	-2.95862351013306	0.00309016380963654	0.0151266759912278
10	5.74652756373759	-3.57860600569931	1.20955099337339	-2.95862351013306	0.00309016380963654	0.0151266759912278
11	2.18387680003728	-3.36012747252439	1.49417287136508	-2.24882109488079	0.0245238807093102	0.0669267699669283
12	2.18387680003728	-3.36012747252439	1.49417287136508	-2.24882109488079	0.0245238807093102	0.0669267699669283
13	2.32528584597162	0.0341713042662566	1.46682669926389	0.0232960746374504	0.981414102851041	0.987027124871367
14	2.32528584597162	0.0341713042662566	1.46682669926389	0.0232960746374504	0.981414102851041	0.987027124871367
15	8.24409418237184	-0.843460889696589	0.838704526825531	-1.00567108286521	0.314573817826075	0.42305796825793
16	8.24409418237184	-0.843460889696589	0.838704526825531	-1.00567108286521	0.314573817826075	0.42305796825793
17	1.45041446997769	1.53543666574195	1.49866647636395	1.0245352718286	0.305582519751191	NA
18	1.45041446997769	1.53543666574195	1.49866647636395	1.0245352718286	0.305582519751191	NA
19	0	NA	NA	NA	NA	NA
20	0	NA	NA	NA	NA	NA
21	0	NA	NA	NA	NA	NA
22	0	NA	NA	NA	NA	NA
23	0.102062072615966	0.0151395672302882	2.09688988419048	0.00722001061878979	0.99423931504784	NA
24	0.102062072615966	0.0151395672302882	2.09688988419048	0.00722001061878979	0.99423931504784	NA
25	19.1685878320527	-3.38644115868567	0.956822348453023	-3.53925800767595	0.000401253470719718	0.00319178897163412
26	19.1685878320527	-3.38644115868567	0.956822348453023	-3.53925800767595	0.000401253470719718	0.00319178897163412
27	4.56170350644307	-2.47183567052428	1.10243712521755	-2.2421556875967	0.0249513119398185	0.0676536540653567
28	4.56170350644307	-2.47183567052428	1.10243712521755	-2.2421556875967	0.0249513119398185	0.0676536540653567
29	0.664339455351268	-0.218000059103391	2.01088723535044	-0.108409887571543	0.913670558214857	NA
30	0.664339455351268	-0.218000059103391	2.01088723535044	-0.108409887571543	0.913670558214857	NA
31	0.227564095343811	1.16277842171323	2.09495177282485	0.555038276678481	0.578868479644751	NA
32	0.227564095343811	1.16277842171323	2.09495177282485	0.555038276678481	0.578868479644751	NA
33	0.329626167959777	0.605654192809648	2.0991405715485	0.288524837744843	0.772945020734111	NA
34	0.329626167959777	0.605654192809648	2.0991405715485	0.288524837744843	0.772945020734111	NA
35	0	NA	NA	NA	NA	NA
36	0	NA	NA	NA	NA	NA
37	3.03827601795265	3.94062416364552	1.38651201929672	2.84211323724716	0.00448155706298878	0.0195052224503139
38	3.03827601795265	3.94062416364552	1.38651201929672	2.84211323724716	0.00448155706298878	0.0195052224503139
39	0.227564095343811	1.16277842171323	2.09495177282485	0.555038276678481	0.578868479644751	NA
40	0.227564095343811	1.16277842171323	2.09495177282485	0.555038276678481	0.578868479644751	NA
41	0.329626167959777	0.605654192809648	2.0991405715485	0.288524837744843	0.772945020734111	NA
42	0.329626167959777	0.605654192809648	2.0991405715485	0.288524837744843	0.772945020734111	NA
43	0	NA	NA	NA	NA	NA
44	0	NA	NA	NA	NA	NA
45	0.227564095343811	1.16277842171323	2.09495177282485	0.555038276678481	0.578868479644751	NA
46	0.227564095343811	1.16277842171323	2.09495177282485	0.555038276678481	0.578868479644751	NA
47	0.102062072615966	0.0151395672302882	2.09688988419048	0.00722001061878979	0.99423931504784	NA
48	0.102062072615966	0.0151395672302882	2.09688988419048	0.00722001061878979	0.99423931504784	NA
49	0.102062072615966	0.0151395672302882	2.09688988419048	0.00722001061878979	0.99423931504784	NA
50	0.102062072615966	0.0151395672302882	2.09688988419048	0.00722001061878979	0.99423931504784	NA
51	0	NA	NA	NA	NA	NA
52	0	NA	NA	NA	NA	NA
53	0	NA	NA	NA	NA	NA
54	0	NA	NA	NA	NA	NA
55	0	NA	NA	NA	NA	NA
56	0	NA	NA	NA	NA	NA
57	0.102062072615966	0.0151395672302882	2.09688988419048	0.00722001061878979	0.99423931504784	NA
58	0.102062072615966	0.0151395672302882	2.09688988419048	0.00722001061878979	0.99423931504784	NA
59	0.455128190687622	1.46332915655147	2.09860405196263	0.697286920409284	0.485623251838368	NA
60	0.455128190687622	1.46332915655147	2.09860405196263	0.697286920409284	0.485623251838368	NA
61	0	NA	NA	NA	NA	NA
62	0	NA	NA	NA	NA	NA
63	0.227564095343811	1.16277842171323	2.09495177282485	0.555038276678481	0.578868479644751	NA
64	0.227564095343811	1.16277842171323	2.09495177282485	0.555038276678481	0.578868479644751	NA
65	0.102062072615966	0.0151395672302882	2.09688988419048	0.00722001061878979	0.99423931504784	NA
66	0.102062072615966	0.0151395672302882	2.09688988419048	0.00722001061878979	0.99423931504784	NA
67	0.891903550695079	0.313143053340604	1.82650082124636	0.171444244479958	0.863874467683476	NA
68	0.891903550695079	0.313143053340604	1.82650082124636	0.171444244479958	0.863874467683476	NA
69	1.32867891070254	-0.443943755878198	1.52786060272776	-0.290565615138977	0.771383561047814	NA
70	1.32867891070254	-0.443943755878198	1.52786060272776	-0.290565615138977	0.771383561047814	NA
71	0	NA	NA	NA	NA	NA
72	0	NA	NA	NA	NA	NA
73	2.56611565256388	2.55652925840233	1.25262980478383	2.04092960956132	0.041257824207873	0.0980480990609596
74	2.56611565256388	2.55652925840233	1.25262980478383	2.04092960956132	0.041257824207873	0.0980480990609596
75	0.334713287391491	-0.530109587478167	2.10015201911518	-0.252414864568474	0.800720411785564	NA
76	0.334713287391491	-0.530109587478167	2.10015201911518	-0.252414864568474	0.800720411785564	NA
77	0	NA	NA	NA	NA	NA
78	0	NA	NA	NA	NA	NA
79	1.9556377136258	0.816770318396615	1.38629122248327	0.589176577871948	0.555742827495119	0.650104369887201
80	1.9556377136258	0.816770318396615	1.38629122248327	0.589176577871948	0.555742827495119	0.650104369887201
81	3.73635334263093	-1.24586026050352	1.01428978061255	-1.22830800853689	0.219331365774159	0.324708229400432
82	3.73635334263093	-1.24586026050352	1.01428978061255	-1.22830800853689	0.219331365774159	0.324708229400432
83	1.66847931752574	-1.69024075561901	1.47059471503724	-1.14935864948774	0.250408123357052	0.35588132441824
84	1.66847931752574	-1.69024075561901	1.47059471503724	-1.14935864948774	0.250408123357052	0.35588132441824
85	0.664339455351268	-0.218000059103391	2.01088723535044	-0.108409887571543	0.913670558214857	NA
86	0.664339455351268	-0.218000059103391	2.01088723535044	-0.108409887571543	0.913670558214857	NA
87	0	NA	NA	NA	NA	NA
88	0	NA	NA	NA	NA	NA
